item_id,coicop4_id,start_date,end_date,desc
210101,10101,199602,200401,Bread and cereals
210102,10101,199602,999999,Bread and cereals
210105,10101,199602,200301,Bread and cereals
210106,10101,199602,999999,Bread and cereals
210107,10101,199602,200401,Bread and cereals
210108,10101,200002,201001,Bread and cereals
210109,10101,200102,200501,Bread and cereals
210110,10101,200302,200401,Bread and cereals
210111,10101,200402,999999,Bread and cereals
210112,10101,200402,200601,Bread and cereals
210113,10101,200402,999999,Bread and cereals
210114,10101,201002,999999,Bread and cereals
210201,10101,199602,999999,Bread and cereals
210202,10101,199602,200301,Bread and cereals
210204,10101,199602,999999,Bread and cereals
210205,10101,199602,200601,Bread and cereals
210209,10101,199602,200601,Bread and cereals
210210,10101,200002,200601,Bread and cereals
210211,10107,201802,999999,Vegetables including potatoes and tubers
210212,10101,200302,999999,Bread and cereals
210213,10101,200602,999999,Bread and cereals
210214,10101,200602,999999,Bread and cereals
210215,10101,201002,999999,Bread and cereals
210216,10101,201202,999999,Bread and cereals
210217,10101,201602,999999,Bread and cereals
210218,10101,201902,999999,Bread and cereals
210219,10101,202002,999999,Bread and cereals
210221,10101,202102,999999,Bread and cereals
210301,10101,199602,999999,Bread and cereals
210302,10101,199602,999999,Bread and cereals
210304,10101,199602,200601,Bread and cereals
210305,10101,199602,200501,Bread and cereals
210306,10101,199602,200301,Bread and cereals
210312,10101,199602,200001,Bread and cereals
210316,10101,199602,199801,Bread and cereals
210317,10101,199602,202001,Bread and cereals
210318,10101,199602,200601,Bread and cereals
210319,10101,199802,202201,Bread and cereals
210320,10101,200002,999999,Bread and cereals
210321,10101,200302,999999,Bread and cereals
210322,10101,200402,201701,Bread and cereals
210323,10101,201702,999999,Bread and cereals
210324,10101,202002,999999,Bread and cereals
210403,10102,199602,999999,Meat
210405,10102,199602,200001,Meat
210406,10102,199602,999999,Meat
210407,10102,199602,200201,Meat
210413,10102,199602,202001,Meat
210414,10102,199602,999999,Meat
210415,10102,200202,201501,Meat
210416,10102,202002,999999,Meat
210501,10102,199602,201501,Meat
210502,10102,199602,202101,Meat
210504,10102,200002,200201,Meat
210505,10102,200402,200601,Meat
210506,10102,201502,999999,Meat
210507,10102,202102,999999,Meat
210604,10102,199602,200901,Meat
210606,10102,199602,202001,Meat
210701,10102,199602,199701,Meat
210703,10102,199602,999999,Meat
210706,10102,199702,201101,Meat
210802,10102,199602,999999,Meat
210805,10102,199602,200101,Meat
210808,10102,199602,999999,Meat
210903,10102,199602,200301,Meat
210904,10102,199602,200401,Meat
210905,10102,199602,999999,Meat
210906,10102,199602,200601,Meat
210907,10102,199602,200301,Meat
210908,10102,199602,200301,Meat
210909,10102,200302,200601,Meat
210910,10102,200302,999999,Meat
210911,10102,200402,202001,Meat
210912,10102,200602,202001,Meat
210913,10102,200902,999999,Meat
210914,10102,202002,999999,Meat
211001,10102,199602,199901,Meat
211003,10102,199602,199901,Meat
211004,10102,199602,200501,Meat
211005,10102,199602,200001,Meat
211007,10102,199602,999999,Meat
211008,10102,199602,199801,Meat
211009,10102,199602,200201,Meat
211010,10102,199602,201801,Meat
211011,10102,199602,999999,Meat
211012,10102,199602,200001,Meat
211013,10102,199802,200201,Meat
211014,10102,199902,999999,Meat
211015,10102,200202,200501,Meat
211016,10102,200202,201801,Meat
211017,10102,200202,200601,Meat
211018,10102,200302,201601,Meat
211019,10102,200502,999999,Meat
211020,10102,200502,201301,Meat
211021,10102,200602,201501,Meat
211022,10102,201102,201501,Meat
211023,10102,201302,999999,Meat
211024,10102,201302,999999,Meat
211025,10102,201502,999999,Meat
211026,10102,201502,999999,Meat
211027,10102,201502,999999,Meat
211028,10102,201602,201701,Meat
211029,10102,201602,999999,Meat
211030,10102,201702,999999,Meat
211031,10102,201802,999999,Meat
211101,10103,199602,999999,Fish
211104,10103,199602,200101,Fish
211105,10103,200102,999999,Fish
211106,10103,200402,999999,Fish
211202,10103,199602,200201,Fish
211203,10103,199602,200401,Fish
211204,10103,199602,200301,Fish
211207,10103,199602,999999,Fish
211209,10103,200202,200401,Fish
211210,10103,200402,999999,Fish
211211,10103,201002,999999,Fish
211301,10105,199602,201301,Oils and fats
211304,10105,199602,201301,Oils and fats
211305,10105,201302,999999,Oils and fats
211306,10105,201302,999999,Oils and fats
211404,10105,199602,200701,Oils and fats
211407,10105,199602,999999,Oils and fats
211408,10105,200702,999999,Oils and fats
211409,10105,201902,999999,Oils and fats
211501,10104,199602,999999,"Milk, cheese and eggs"
211502,10104,199602,200901,"Milk, cheese and eggs"
211504,10104,199602,200701,"Milk, cheese and eggs"
211505,10104,199602,199801,"Milk, cheese and eggs"
211506,10104,199802,999999,"Milk, cheese and eggs"
211507,10104,200002,201801,"Milk, cheese and eggs"
211508,10104,200202,200401,"Milk, cheese and eggs"
211509,10104,200402,999999,"Milk, cheese and eggs"
211510,10104,200902,999999,"Milk, cheese and eggs"
211511,10104,201202,999999,"Milk, cheese and eggs"
211601,10104,199602,200901,"Milk, cheese and eggs"
211602,10104,199602,202201,"Milk, cheese and eggs"
211603,10104,200902,202201,"Milk, cheese and eggs"
211604,10104,202202,999999,"Milk, cheese and eggs"
211701,10104,199602,200201,"Milk, cheese and eggs"
211704,10104,199602,200401,"Milk, cheese and eggs"
211705,10104,199602,200401,"Milk, cheese and eggs"
211707,10104,199602,999999,"Milk, cheese and eggs"
211708,10104,199602,200101,"Milk, cheese and eggs"
211709,10104,199602,999999,"Milk, cheese and eggs"
211710,10104,199602,999999,"Milk, cheese and eggs"
211711,10104,199602,200301,"Milk, cheese and eggs"
211712,10104,200002,200201,"Milk, cheese and eggs"
211713,10104,201402,999999,"Milk, cheese and eggs"
211714,10104,201702,999999,"Milk, cheese and eggs"
211802,10104,199602,199901,"Milk, cheese and eggs"
211803,10104,199602,200101,"Milk, cheese and eggs"
211804,10104,199602,200201,"Milk, cheese and eggs"
211805,10104,199602,199901,"Milk, cheese and eggs"
211806,10104,199902,200901,"Milk, cheese and eggs"
211807,10104,199902,999999,"Milk, cheese and eggs"
211808,10104,200102,999999,"Milk, cheese and eggs"
211809,10104,200102,200901,"Milk, cheese and eggs"
211810,10104,200202,200501,"Milk, cheese and eggs"
211812,10104,200302,200601,"Milk, cheese and eggs"
211813,10104,200702,201501,"Milk, cheese and eggs"
211814,10104,200902,999999,"Milk, cheese and eggs"
211815,10104,200902,999999,"Milk, cheese and eggs"
211816,10104,201002,999999,"Milk, cheese and eggs"
211901,10201,199602,999999,"Coffee, tea and cocoa"
211902,10201,199602,200201,"Coffee, tea and cocoa"
211903,10201,200102,200301,"Coffee, tea and cocoa"
211904,10201,200302,999999,"Coffee, tea and cocoa"
211905,10201,201902,999999,"Coffee, tea and cocoa"
212001,10202,199602,999999,"Mineral waters, soft drinks and juices"
212003,10202,199602,200501,"Mineral waters, soft drinks and juices"
212004,10202,199602,200501,"Mineral waters, soft drinks and juices"
212005,10202,199602,200801,"Mineral waters, soft drinks and juices"
212006,10202,199602,999999,"Mineral waters, soft drinks and juices"
212008,10202,199602,999999,"Mineral waters, soft drinks and juices"
212009,10202,199602,201001,"Mineral waters, soft drinks and juices"
212010,10202,199602,999999,"Mineral waters, soft drinks and juices"
212011,10202,199602,201901,"Mineral waters, soft drinks and juices"
212012,10202,199602,201601,"Mineral waters, soft drinks and juices"
212013,10202,199602,200601,"Mineral waters, soft drinks and juices"
212014,10202,200002,200201,"Mineral waters, soft drinks and juices"
212015,10202,200102,999999,"Mineral waters, soft drinks and juices"
212016,10202,200302,999999,"Mineral waters, soft drinks and juices"
212017,10202,200502,999999,"Mineral waters, soft drinks and juices"
212018,10202,200502,201001,"Mineral waters, soft drinks and juices"
212019,10202,200802,202101,"Mineral waters, soft drinks and juices"
212020,10202,201002,999999,"Mineral waters, soft drinks and juices"
212021,10202,201002,999999,"Mineral waters, soft drinks and juices"
212022,10202,201402,999999,"Mineral waters, soft drinks and juices"
212023,10202,201602,999999,"Mineral waters, soft drinks and juices"
212024,10202,201702,999999,"Mineral waters, soft drinks and juices"
212025,10202,201902,999999,"Mineral waters, soft drinks and juices"
212026,10202,201902,999999,"Mineral waters, soft drinks and juices"
212027,10202,202102,999999,"Mineral waters, soft drinks and juices"
212101,10108,199602,999999,"Sugar, jam, syrups, chocolate and confectionery"
212106,10108,199602,999999,"Sugar, jam, syrups, chocolate and confectionery"
212107,10108,201402,999999,"Sugar, jam, syrups, chocolate and confectionery"
212202,10108,199602,999999,"Sugar, jam, syrups, chocolate and confectionery"
212203,10108,199602,200201,"Sugar, jam, syrups, chocolate and confectionery"
212207,10108,199602,201201,"Sugar, jam, syrups, chocolate and confectionery"
212209,10108,199602,200201,"Sugar, jam, syrups, chocolate and confectionery"
212211,10108,199602,999999,"Sugar, jam, syrups, chocolate and confectionery"
212212,10101,199802,200401,Bread and cereals
212214,10108,199602,999999,"Sugar, jam, syrups, chocolate and confectionery"
212215,10108,199602,201201,"Sugar, jam, syrups, chocolate and confectionery"
212217,10108,199602,999999,"Sugar, jam, syrups, chocolate and confectionery"
212218,10108,199602,999999,"Sugar, jam, syrups, chocolate and confectionery"
212219,10108,200202,201801,"Sugar, jam, syrups, chocolate and confectionery"
212220,10108,200202,200601,"Sugar, jam, syrups, chocolate and confectionery"
212221,10108,200202,200301,"Sugar, jam, syrups, chocolate and confectionery"
212222,10108,200302,999999,"Sugar, jam, syrups, chocolate and confectionery"
212223,10108,201202,999999,"Sugar, jam, syrups, chocolate and confectionery"
212224,10108,201202,999999,"Sugar, jam, syrups, chocolate and confectionery"
212225,10108,201602,999999,"Sugar, jam, syrups, chocolate and confectionery"
212226,10108,201702,999999,"Sugar, jam, syrups, chocolate and confectionery"
212227,10108,201802,202101,"Sugar, jam, syrups, chocolate and confectionery"
212228,10108,202102,999999,"Sugar, jam, syrups, chocolate and confectionery"
212360,10107,200402,202201,Vegetables including potatoes and tubers
212361,10107,200402,202201,Vegetables including potatoes and tubers
212391,10107,199602,199901,Vegetables including potatoes and tubers
212392,10107,199602,200401,Vegetables including potatoes and tubers
212395,10107,199602,199901,Vegetables including potatoes and tubers
212397,10107,199602,200201,Vegetables including potatoes and tubers
212398,10107,199902,200401,Vegetables including potatoes and tubers
212399,10107,199902,202201,Vegetables including potatoes and tubers
212402,10107,199602,999999,Vegetables including potatoes and tubers
212404,10107,199602,999999,Vegetables including potatoes and tubers
212405,10107,199602,999999,Vegetables including potatoes and tubers
212406,10107,200002,200501,Vegetables including potatoes and tubers
212407,10107,200302,200501,Vegetables including potatoes and tubers
212408,10107,200502,999999,Vegetables including potatoes and tubers
212409,10107,201802,999999,Vegetables including potatoes and tubers
212501,10107,199602,199901,Vegetables including potatoes and tubers
212503,10107,199602,199901,Vegetables including potatoes and tubers
212504,10107,199602,999999,Vegetables including potatoes and tubers
212505,10107,199602,199901,Vegetables including potatoes and tubers
212506,10107,199602,199901,Vegetables including potatoes and tubers
212507,10107,199602,199901,Vegetables including potatoes and tubers
212508,10107,199602,199901,Vegetables including potatoes and tubers
212510,10107,199602,999999,Vegetables including potatoes and tubers
212511,10107,199602,999999,Vegetables including potatoes and tubers
212513,10107,199602,199901,Vegetables including potatoes and tubers
212514,10107,199602,199901,Vegetables including potatoes and tubers
212515,10107,199902,999999,Vegetables including potatoes and tubers
212516,10107,199902,999999,Vegetables including potatoes and tubers
212517,10107,199902,200701,Vegetables including potatoes and tubers
212518,10107,199902,999999,Vegetables including potatoes and tubers
212519,10107,199902,999999,Vegetables including potatoes and tubers
212520,10107,199902,999999,Vegetables including potatoes and tubers
212521,10107,199902,200101,Vegetables including potatoes and tubers
212522,10107,199902,200201,Vegetables including potatoes and tubers
212523,10107,200002,200201,Vegetables including potatoes and tubers
212524,10107,200002,200201,Vegetables including potatoes and tubers
212525,10107,200102,200301,Vegetables including potatoes and tubers
212526,10107,200102,201601,Vegetables including potatoes and tubers
212527,10107,200202,999999,Vegetables including potatoes and tubers
212528,10107,200302,201301,Vegetables including potatoes and tubers
212529,10107,200502,200701,Vegetables including potatoes and tubers
212530,10107,200702,999999,Vegetables including potatoes and tubers
212531,10107,200702,999999,Vegetables including potatoes and tubers
212532,10107,200802,999999,Vegetables including potatoes and tubers
212533,10107,201302,999999,Vegetables including potatoes and tubers
212534,10107,201502,201801,Vegetables including potatoes and tubers
212535,10107,201802,999999,Vegetables including potatoes and tubers
212601,10107,199602,999999,Vegetables including potatoes and tubers
212603,10107,199602,999999,Vegetables including potatoes and tubers
212608,10107,199602,999999,Vegetables including potatoes and tubers
212609,10107,199602,999999,Vegetables including potatoes and tubers
212611,10107,199602,200001,Vegetables including potatoes and tubers
212612,10107,202102,999999,Vegetables including potatoes and tubers
212613,10107,202202,999999,Vegetables including potatoes and tubers
212701,10106,199602,199901,Fruit
212702,10106,199602,199901,Fruit
212703,10106,199602,199901,Fruit
212705,10106,199602,199901,Fruit
212706,10106,199602,199901,Fruit
212707,10106,199602,199901,Fruit
212708,10106,199602,199901,Fruit
212709,10106,199602,999999,Fruit
212710,10106,199602,999999,Fruit
212711,10106,199602,200201,Fruit
212712,10106,199602,999999,Fruit
212714,10106,199602,200901,Fruit
212715,10106,199602,999999,Fruit
212716,10106,199902,999999,Fruit
212717,10106,199902,999999,Fruit
212718,10106,199902,999999,Fruit
212719,10106,199902,999999,Fruit
212720,10106,199902,999999,Fruit
212721,10106,199902,200201,Fruit
212722,10106,199902,999999,Fruit
212723,10106,200102,200601,Fruit
212724,10106,200602,201601,Fruit
212725,10106,200802,999999,Fruit
212726,10106,200902,999999,Fruit
212727,10106,200902,201801,Fruit
