quote_date,region,desc,price
2020-01-01,East Anglia,Accommodation services,1730.88
2020-01-01,East Anglia,Appliances and products for personal care,5842.53
2020-01-01,East Anglia,Beer,495.1
2020-01-01,East Anglia,Books,1267.66
2020-01-01,East Anglia,Bread and cereals,518.94
2020-01-01,East Anglia,Canteens,133.23
2020-01-01,East Anglia,Carpets and other floor coverings,5095.65
2020-01-01,East Anglia,"Cleaning, repair and hire of clothing",839.57
2020-01-01,East Anglia,"Coffee, tea and cocoa",327.35
2020-01-01,East Anglia,Cultural services,89.63
2020-01-01,East Anglia,Dental services,611.5
2020-01-01,East Anglia,Domestic services and household services,3728.45
2020-01-01,East Anglia,Equipment for sport and open-air recreation,3312.6800000000003
2020-01-01,East Anglia,Fish,771.64
2020-01-01,East Anglia,Food products nec,755.74
2020-01-01,East Anglia,Footwear including repairs,27341.5
2020-01-01,East Anglia,Fruit,2267.57
2020-01-01,East Anglia,Fuels and lubricants,120.22999999999999
2020-01-01,East Anglia,Furniture and furnishings,188075.97
2020-01-01,East Anglia,"Games, toys and hobbies",3343.89
2020-01-01,East Anglia,"Gardens, plants and flowers",343.19
2020-01-01,East Anglia,Garments,48392.57
2020-01-01,East Anglia,"Glassware, tableware and household utensils",4125.32
2020-01-01,East Anglia,Hairdressing and personal grooming establishments,3536.55
2020-01-01,East Anglia,Hospital services,22761.14
2020-01-01,East Anglia,Household textiles,10286.82
2020-01-01,East Anglia,"Jewellery, clocks and watches",62966.02
2020-01-01,East Anglia,Liquid Fuels,4773.53
2020-01-01,East Anglia,Maintenance and repairs,10001.45
2020-01-01,East Anglia,Major appliances and small electric goods,54007.17
2020-01-01,East Anglia,Major durables for in/outdoor recreation,965.52
2020-01-01,East Anglia,Materials for maintenance and repair,1338.6100000000001
2020-01-01,East Anglia,Meat,2911.43
2020-01-01,East Anglia,Medical services and paramedical services,1375.0
2020-01-01,East Anglia,"Milk, cheese and eggs",1003.6899999999999
2020-01-01,East Anglia,"Mineral waters, soft drinks and juices",414.14
2020-01-01,East Anglia,"Misc. printed matter, stationery, drawing materials",679.41
2020-01-01,East Anglia,Motorcycles and bicycles,11906.7
2020-01-01,East Anglia,Non-durable household goods,404.77
2020-01-01,East Anglia,Oils and fats,244.60999999999999
2020-01-01,East Anglia,Other clothing and clothing accessories,2182.84
2020-01-01,East Anglia,Other medical and therapeutic equipment,1886.74
2020-01-01,East Anglia,Other personal effects,4451.29
2020-01-01,East Anglia,Other services,4114.48
2020-01-01,East Anglia,Other services nec,166230.32
2020-01-01,East Anglia,Passenger transport by road,6992.75
2020-01-01,East Anglia,"Pets, related products and services",1418.56
2020-01-01,East Anglia,Pharmaceutical products,344.39
2020-01-01,East Anglia,"Photographic, cinematographic and optical equipment",3319.69
2020-01-01,East Anglia,Reception and reproduction of sound and pictures,28046.43
2020-01-01,East Anglia,Recording media,464.77
2020-01-01,East Anglia,Recreational and sporting services,5949.4800000000005
2020-01-01,East Anglia,Repair of audio-visual equipment & related products,440.2
2020-01-01,East Anglia,Repair of household appliances,685.5799999999999
2020-01-01,East Anglia,Restaurants & cafes,4825.39
2020-01-01,East Anglia,Services for maintenance and repair,3967.91
2020-01-01,East Anglia,Social protection,23932.339999999997
